Designator,Mid X,Mid Y,Rotation,Layer
C301,14.8,-34.75,0.0,top
C302,17.6,-37.6,90.0,top
C303,14.8,-49.75,0.0,top
C304,17.6,-67.6,90.0,top
C305,14.8,-64.75,0.0,top
C306,17.65,-52.575,90.0,top
C307,14.5,-29.85,0.0,top
C401,16.75,-12.9,90.0,top
C402,10.35,-12.9,-90.0,top
C501,33.5,-8.75,180.0,top
C502,31.75,-17.5,180.0,top
C503,31.75,-26.0,180.0,top
C504,31.75,-34.5,180.0,top
C505,31.75,-43.0,180.0,top
C506,31.75,-51.5,180.0,top
C507,31.75,-60.0,180.0,top
C508,31.75,-68.5,180.0,top
C601,53.5,-8.75,180.0,top
C602,51.75,-17.5,180.0,top
C603,51.75,-26.0,180.0,top
C604,51.75,-34.5,180.0,top
C605,51.75,-43.0,180.0,top
C606,51.75,-51.5,180.0,top
C607,51.75,-60.0,180.0,top
C608,51.75,-68.5,180.0,top
D501,33.5,-13.0,0.0,top
D502,33.5,-21.5,0.0,top
D503,33.5,-30.0,0.0,top
D504,33.5,-38.5,0.0,top
D505,33.5,-47.0,0.0,top
D506,33.5,-55.5,0.0,top
D507,33.5,-64.0,0.0,top
D508,33.5,-72.5,0.0,top
D601,53.5,-13.0,0.0,top
D602,53.5,-21.5,0.0,top
D603,53.5,-30.0,0.0,top
D604,53.5,-38.5,0.0,top
D605,53.5,-47.0,0.0,top
D606,53.5,-55.5,0.0,top
D607,53.5,-64.0,0.0,top
D608,53.5,-72.5,0.0,top
R201,15.275,-18.15,0.0,top
R202,11.675,-18.15,180.0,top
R301,9.4,-67.525,-90.0,top
R302,9.4,-52.45,-90.0,top
R303,14.8,-75.25,180.0,top
R304,14.8,-73.2,180.0,top
R305,14.975,-43.2,180.0,top
R306,9.4,-37.55,-90.0,top
U301,13.5,-39.0,0.0,top
U302,13.5,-54.0,0.0,top
U303,13.5,-69.0,0.0,top
U304,13.5,-25.05,90.0,top
U401,15.475,-15.4625,0.0,top
